"topology","payoff","benefit","beta","mutation","init_c","t","c"
"rrg","acc",1.005,10,0,0.2,0,0.2
"rrg","acc",1.005,10,0,0.2,1000,0.128169
"rrg","acc",1.005,10,0,0.2,2000,0.099667
"rrg","acc",1.005,10,0,0.2,3000,0.090257
"rrg","acc",1.005,10,0,0.2,4000,0.090067
"rrg","acc",1.005,10,0,0.2,5000,0.093973
"rrg","acc",1.005,10,0,0.2,6000,0.10044
"rrg","acc",1.005,10,0,0.2,7000,0.107793
"rrg","acc",1.005,10,0,0.2,8000,0.116453
"rrg","acc",1.005,10,0,0.2,9000,0.125571
"rrg","acc",1.005,10,0,0.2,10000,0.134828
"rrg","acc",1.005,10,0,0.2,11000,0.145082
"rrg","acc",1.005,10,0,0.2,12000,0.155386
"rrg","acc",1.005,10,0,0.2,13000,0.166017
"rrg","acc",1.005,10,0,0.2,14000,0.17703
"rrg","acc",1.005,10,0,0.2,15000,0.18798
"rrg","acc",1.005,10,0,0.2,16000,0.198832
"rrg","acc",1.005,10,0,0.2,17000,0.210139
"rrg","acc",1.005,10,0,0.2,18000,0.221457
"rrg","acc",1.005,10,0,0.2,19000,0.232352
"rrg","acc",1.005,10,0,0.2,20000,0.243055
"rrg","acc",1.005,10,0,0.2,21000,0.254082
"rrg","acc",1.005,10,0,0.2,22000,0.265101
"rrg","acc",1.005,10,0,0.2,23000,0.275287
"rrg","acc",1.005,10,0,0.2,24000,0.285655
"rrg","acc",1.005,10,0,0.2,25000,0.296191
"rrg","acc",1.005,10,0,0.2,26000,0.307093
"rrg","acc",1.005,10,0,0.2,27000,0.316545
"rrg","acc",1.005,10,0,0.2,28000,0.326727
"rrg","acc",1.005,10,0,0.2,29000,0.33645
"rrg","acc",1.005,10,0,0.2,30000,0.346388
"rrg","acc",1.005,10,0,0.2,31000,0.355494
"rrg","acc",1.005,10,0,0.2,32000,0.364761
"rrg","acc",1.005,10,0,0.2,33000,0.374102
"rrg","acc",1.005,10,0,0.2,34000,0.382839
"rrg","acc",1.005,10,0,0.2,35000,0.39111
"rrg","acc",1.005,10,0,0.2,36000,0.400002
"rrg","acc",1.005,10,0,0.2,37000,0.407225
"rrg","acc",1.005,10,0,0.2,38000,0.415104
"rrg","acc",1.005,10,0,0.2,39000,0.42364
"rrg","acc",1.005,10,0,0.2,40000,0.43109
"rrg","acc",1.005,10,0,0.2,41000,0.438048
"rrg","acc",1.005,10,0,0.2,42000,0.445089
"rrg","acc",1.005,10,0,0.2,43000,0.451661
"rrg","acc",1.005,10,0,0.2,44000,0.457584
"rrg","acc",1.005,10,0,0.2,45000,0.463686
"rrg","acc",1.005,10,0,0.2,46000,0.468847
"rrg","acc",1.005,10,0,0.2,47000,0.474213
"rrg","acc",1.005,10,0,0.2,48000,0.480112
"rrg","acc",1.005,10,0,0.2,49000,0.485353
"rrg","acc",1.005,10,0,0.2,50000,0.490478
"rrg","acc",1.005,10,0,0.2,51000,0.495034
"rrg","acc",1.005,10,0,0.2,52000,0.499274
"rrg","acc",1.005,10,0,0.2,53000,0.503928
"rrg","acc",1.005,10,0,0.2,54000,0.507517
"rrg","acc",1.005,10,0,0.2,55000,0.511547
"rrg","acc",1.005,10,0,0.2,56000,0.515668
"rrg","acc",1.005,10,0,0.2,57000,0.519293
"rrg","acc",1.005,10,0,0.2,58000,0.523099
"rrg","acc",1.005,10,0,0.2,59000,0.525837
"rrg","acc",1.005,10,0,0.2,60000,0.529284
"rrg","acc",1.005,10,0,0.2,61000,0.532628
"rrg","acc",1.005,10,0,0.2,62000,0.534953
"rrg","acc",1.005,10,0,0.2,63000,0.537587
"rrg","acc",1.005,10,0,0.2,64000,0.540636
"rrg","acc",1.005,10,0,0.2,65000,0.542852
"rrg","acc",1.005,10,0,0.2,66000,0.544964
"rrg","acc",1.005,10,0,0.2,67000,0.546995
"rrg","acc",1.005,10,0,0.2,68000,0.548939
"rrg","acc",1.005,10,0,0.2,69000,0.551528
"rrg","acc",1.005,10,0,0.2,70000,0.552697
"rrg","acc",1.005,10,0,0.2,71000,0.554604
"rrg","acc",1.005,10,0,0.2,72000,0.556664
"rrg","acc",1.005,10,0,0.2,73000,0.558085
"rrg","acc",1.005,10,0,0.2,74000,0.559254
"rrg","acc",1.005,10,0,0.2,75000,0.560397
"rrg","acc",1.005,10,0,0.2,76000,0.562024
"rrg","acc",1.005,10,0,0.2,77000,0.563038
"rrg","acc",1.005,10,0,0.2,78000,0.564055
"rrg","acc",1.005,10,0,0.2,79000,0.566046
"rrg","acc",1.005,10,0,0.2,80000,0.56678
"rrg","acc",1.005,10,0,0.2,81000,0.567334
"rrg","acc",1.005,10,0,0.2,82000,0.568505
"rrg","acc",1.005,10,0,0.2,83000,0.569615
"rrg","acc",1.005,10,0,0.2,84000,0.570201
"rrg","acc",1.005,10,0,0.2,85000,0.570645
"rrg","acc",1.005,10,0,0.2,86000,0.571164
"rrg","acc",1.005,10,0,0.2,87000,0.572281
"rrg","acc",1.005,10,0,0.2,88000,0.572787
"rrg","acc",1.005,10,0,0.2,89000,0.572888
"rrg","acc",1.005,10,0,0.2,90000,0.57305
"rrg","acc",1.005,10,0,0.2,91000,0.5741
"rrg","acc",1.005,10,0,0.2,92000,0.575317
"rrg","acc",1.005,10,0,0.2,93000,0.575264
"rrg","acc",1.005,10,0,0.2,94000,0.575506
"rrg","acc",1.005,10,0,0.2,95000,0.575274
"rrg","acc",1.005,10,0,0.2,96000,0.575964
"rrg","acc",1.005,10,0,0.2,97000,0.57634
"rrg","acc",1.005,10,0,0.2,98000,0.576137
"rrg","acc",1.005,10,0,0.2,99000,0.576886
"rrg","acc",1.005,10,0,0.2,100000,0.57673
"rrg","acc",1.005,10,0,0.2,101000,0.577353
"rrg","acc",1.005,10,0,0.2,102000,0.577802
"rrg","acc",1.005,10,0,0.2,103000,0.577992
"rrg","acc",1.005,10,0,0.2,104000,0.578428
"rrg","acc",1.005,10,0,0.2,105000,0.578334
"rrg","acc",1.005,10,0,0.2,106000,0.578356
"rrg","acc",1.005,10,0,0.2,107000,0.578828
"rrg","acc",1.005,10,0,0.2,108000,0.578649
"rrg","acc",1.005,10,0,0.2,109000,0.578961
"rrg","acc",1.005,10,0,0.2,110000,0.579308
"rrg","acc",1.005,10,0,0.2,111000,0.579457
"rrg","acc",1.005,10,0,0.2,112000,0.579533
"rrg","acc",1.005,10,0,0.2,113000,0.579863
"rrg","acc",1.005,10,0,0.2,114000,0.579656
"rrg","acc",1.005,10,0,0.2,115000,0.579951
"rrg","acc",1.005,10,0,0.2,116000,0.580615
"rrg","acc",1.005,10,0,0.2,117000,0.580615
"rrg","acc",1.005,10,0,0.2,118000,0.580944
"rrg","acc",1.005,10,0,0.2,119000,0.580729
"rrg","acc",1.005,10,0,0.2,120000,0.580782
"rrg","acc",1.005,10,0,0.2,121000,0.58115
"rrg","acc",1.005,10,0,0.2,122000,0.581302
"rrg","acc",1.005,10,0,0.2,123000,0.581192
"rrg","acc",1.005,10,0,0.2,124000,0.580685
"rrg","acc",1.005,10,0,0.2,125000,0.579769
"rrg","acc",1.005,10,0,0.2,126000,0.580156
"rrg","acc",1.005,10,0,0.2,127000,0.580531
"rrg","acc",1.005,10,0,0.2,128000,0.581063
"rrg","acc",1.005,10,0,0.2,129000,0.581162
"rrg","acc",1.005,10,0,0.2,130000,0.580898
"rrg","acc",1.005,10,0,0.2,131000,0.581278
"rrg","acc",1.005,10,0,0.2,132000,0.581135
"rrg","acc",1.005,10,0,0.2,133000,0.580393
"rrg","acc",1.005,10,0,0.2,134000,0.580913
"rrg","acc",1.005,10,0,0.2,135000,0.580778
"rrg","acc",1.005,10,0,0.2,136000,0.580766
"rrg","acc",1.005,10,0,0.2,137000,0.58163
"rrg","acc",1.005,10,0,0.2,138000,0.581585
"rrg","acc",1.005,10,0,0.2,139000,0.581796
"rrg","acc",1.005,10,0,0.2,140000,0.581417
"rrg","acc",1.005,10,0,0.2,141000,0.581344
"rrg","acc",1.005,10,0,0.2,142000,0.581788
"rrg","acc",1.005,10,0,0.2,143000,0.581662
"rrg","acc",1.005,10,0,0.2,144000,0.582162
"rrg","acc",1.005,10,0,0.2,145000,0.582176
"rrg","acc",1.005,10,0,0.2,146000,0.582066
"rrg","acc",1.005,10,0,0.2,147000,0.581728
"rrg","acc",1.005,10,0,0.2,148000,0.581816
"rrg","acc",1.005,10,0,0.2,149000,0.582128
"rrg","acc",1.005,10,0,0.2,150000,0.582339
"rrg","acc",1.005,10,0,0.2,151000,0.582374
"rrg","acc",1.005,10,0,0.2,152000,0.582238
"rrg","acc",1.005,10,0,0.2,153000,0.581965
"rrg","acc",1.005,10,0,0.2,154000,0.582485
"rrg","acc",1.005,10,0,0.2,155000,0.582542
"rrg","acc",1.005,10,0,0.2,156000,0.582088
"rrg","acc",1.005,10,0,0.2,157000,0.582014
"rrg","acc",1.005,10,0,0.2,158000,0.582234
"rrg","acc",1.005,10,0,0.2,159000,0.582033
"rrg","acc",1.005,10,0,0.2,160000,0.582111
"rrg","acc",1.005,10,0,0.2,161000,0.581998
"rrg","acc",1.005,10,0,0.2,162000,0.581951
"rrg","acc",1.005,10,0,0.2,163000,0.581672
"rrg","acc",1.005,10,0,0.2,164000,0.581284
"rrg","acc",1.005,10,0,0.2,165000,0.581166
"rrg","acc",1.005,10,0,0.2,166000,0.581583
"rrg","acc",1.005,10,0,0.2,167000,0.581342
"rrg","acc",1.005,10,0,0.2,168000,0.58132
"rrg","acc",1.005,10,0,0.2,169000,0.580574
"rrg","acc",1.005,10,0,0.2,170000,0.580892
"rrg","acc",1.005,10,0,0.2,171000,0.580654
"rrg","acc",1.005,10,0,0.2,172000,0.580912
"rrg","acc",1.005,10,0,0.2,173000,0.581544
"rrg","acc",1.005,10,0,0.2,174000,0.581394
"rrg","acc",1.005,10,0,0.2,175000,0.581846
"rrg","acc",1.005,10,0,0.2,176000,0.580873
"rrg","acc",1.005,10,0,0.2,177000,0.580892
"rrg","acc",1.005,10,0,0.2,178000,0.580903
"rrg","acc",1.005,10,0,0.2,179000,0.580672
"rrg","acc",1.005,10,0,0.2,180000,0.580694
"rrg","acc",1.005,10,0,0.2,181000,0.581398
"rrg","acc",1.005,10,0,0.2,182000,0.58097
"rrg","acc",1.005,10,0,0.2,183000,0.581527
"rrg","acc",1.005,10,0,0.2,184000,0.581789
"rrg","acc",1.005,10,0,0.2,185000,0.581398
"rrg","acc",1.005,10,0,0.2,186000,0.581131
"rrg","acc",1.005,10,0,0.2,187000,0.581415
"rrg","acc",1.005,10,0,0.2,188000,0.581336
"rrg","acc",1.005,10,0,0.2,189000,0.581615
"rrg","acc",1.005,10,0,0.2,190000,0.581622
"rrg","acc",1.005,10,0,0.2,191000,0.581811
"rrg","acc",1.005,10,0,0.2,192000,0.581694
"rrg","acc",1.005,10,0,0.2,193000,0.581683
"rrg","acc",1.005,10,0,0.2,194000,0.581624
"rrg","acc",1.005,10,0,0.2,195000,0.581932
"rrg","acc",1.005,10,0,0.2,196000,0.582125
"rrg","acc",1.005,10,0,0.2,197000,0.582305
"rrg","acc",1.005,10,0,0.2,198000,0.582296
"rrg","acc",1.005,10,0,0.2,199000,0.581564
"rrg","acc",1.005,10,0,0.2,200000,0.581449
"rrg","acc",1.005,10,0,0.2,201000,0.581762
"rrg","acc",1.005,10,0,0.2,202000,0.581431
"rrg","acc",1.005,10,0,0.2,203000,0.581523
"rrg","acc",1.005,10,0,0.2,204000,0.581805
"rrg","acc",1.005,10,0,0.2,205000,0.581646
"rrg","acc",1.005,10,0,0.2,206000,0.581624
"rrg","acc",1.005,10,0,0.2,207000,0.581486
"rrg","acc",1.005,10,0,0.2,208000,0.581716
"rrg","acc",1.005,10,0,0.2,209000,0.581225
"rrg","acc",1.005,10,0,0.2,210000,0.581087
"rrg","acc",1.005,10,0,0.2,211000,0.581352
"rrg","acc",1.005,10,0,0.2,212000,0.58151
"rrg","acc",1.005,10,0,0.2,213000,0.58143
"rrg","acc",1.005,10,0,0.2,214000,0.581778
"rrg","acc",1.005,10,0,0.2,215000,0.581771
"rrg","acc",1.005,10,0,0.2,216000,0.581826
"rrg","acc",1.005,10,0,0.2,217000,0.581874
"rrg","acc",1.005,10,0,0.2,218000,0.581937
"rrg","acc",1.005,10,0,0.2,219000,0.581758
"rrg","acc",1.005,10,0,0.2,220000,0.581876
"rrg","acc",1.005,10,0,0.2,221000,0.58141
"rrg","acc",1.005,10,0,0.2,222000,0.581565
"rrg","acc",1.005,10,0,0.2,223000,0.581481
"rrg","acc",1.005,10,0,0.2,224000,0.582167
"rrg","acc",1.005,10,0,0.2,225000,0.582059
"rrg","acc",1.005,10,0,0.2,226000,0.581731
"rrg","acc",1.005,10,0,0.2,227000,0.581623
"rrg","acc",1.005,10,0,0.2,228000,0.581402
"rrg","acc",1.005,10,0,0.2,229000,0.581494
"rrg","acc",1.005,10,0,0.2,230000,0.581558
"rrg","acc",1.005,10,0,0.2,231000,0.581384
"rrg","acc",1.005,10,0,0.2,232000,0.581421
"rrg","acc",1.005,10,0,0.2,233000,0.5811
"rrg","acc",1.005,10,0,0.2,234000,0.581375
"rrg","acc",1.005,10,0,0.2,235000,0.58207
"rrg","acc",1.005,10,0,0.2,236000,0.582003
"rrg","acc",1.005,10,0,0.2,237000,0.581835
"rrg","acc",1.005,10,0,0.2,238000,0.581544
"rrg","acc",1.005,10,0,0.2,239000,0.581162
"rrg","acc",1.005,10,0,0.2,240000,0.581466
"rrg","acc",1.005,10,0,0.2,241000,0.582405
"rrg","acc",1.005,10,0,0.2,242000,0.58245
"rrg","acc",1.005,10,0,0.2,243000,0.582035
"rrg","acc",1.005,10,0,0.2,244000,0.582364
"rrg","acc",1.005,10,0,0.2,245000,0.58265
"rrg","acc",1.005,10,0,0.2,246000,0.582857
"rrg","acc",1.005,10,0,0.2,247000,0.582094
"rrg","acc",1.005,10,0,0.2,248000,0.581772
"rrg","acc",1.005,10,0,0.2,249000,0.581989
"rrg","acc",1.005,10,0,0.2,250000,0.582387
"rrg","acc",1.005,10,0,0.2,251000,0.581983
"rrg","acc",1.005,10,0,0.2,252000,0.581972
"rrg","acc",1.005,10,0,0.2,253000,0.58176
"rrg","acc",1.005,10,0,0.2,254000,0.582102
"rrg","acc",1.005,10,0,0.2,255000,0.582479
"rrg","acc",1.005,10,0,0.2,256000,0.582764
"rrg","acc",1.005,10,0,0.2,257000,0.583091
"rrg","acc",1.005,10,0,0.2,258000,0.583388
