topology,payoff,benefit,beta,mutation,init_c,sim,t,c
rrg,acc,1.005,10,0,0.2,1,0,0.2
rrg,acc,1.005,10,0,0.2,1,1000,0.107
rrg,acc,1.005,10,0,0.2,1,2000,0.079
rrg,acc,1.005,10,0,0.2,1,3000,0.066
rrg,acc,1.005,10,0,0.2,1,4000,0.063
rrg,acc,1.005,10,0,0.2,1,5000,0.062
rrg,acc,1.005,10,0,0.2,1,6000,0.067
rrg,acc,1.005,10,0,0.2,1,7000,0.07
rrg,acc,1.005,10,0,0.2,1,8000,0.073
rrg,acc,1.005,10,0,0.2,1,9000,0.078
rrg,acc,1.005,10,0,0.2,1,10000,0.077
rrg,acc,1.005,10,0,0.2,1,11000,0.091
rrg,acc,1.005,10,0,0.2,1,12000,0.103
rrg,acc,1.005,10,0,0.2,1,13000,0.127
rrg,acc,1.005,10,0,0.2,1,14000,0.139
rrg,acc,1.005,10,0,0.2,1,15000,0.166
rrg,acc,1.005,10,0,0.2,1,16000,0.175
rrg,acc,1.005,10,0,0.2,1,17000,0.214
rrg,acc,1.005,10,0,0.2,1,18000,0.242
rrg,acc,1.005,10,0,0.2,1,19000,0.266
rrg,acc,1.005,10,0,0.2,1,20000,0.285
rrg,acc,1.005,10,0,0.2,1,21000,0.296
rrg,acc,1.005,10,0,0.2,1,22000,0.308
rrg,acc,1.005,10,0,0.2,1,23000,0.301
rrg,acc,1.005,10,0,0.2,1,24000,0.312
rrg,acc,1.005,10,0,0.2,1,25000,0.32
rrg,acc,1.005,10,0,0.2,1,26000,0.346
rrg,acc,1.005,10,0,0.2,1,27000,0.347
rrg,acc,1.005,10,0,0.2,1,28000,0.381
rrg,acc,1.005,10,0,0.2,1,29000,0.391
rrg,acc,1.005,10,0,0.2,1,30000,0.403
rrg,acc,1.005,10,0,0.2,1,31000,0.423
rrg,acc,1.005,10,0,0.2,1,32000,0.436
rrg,acc,1.005,10,0,0.2,1,33000,0.452
rrg,acc,1.005,10,0,0.2,1,34000,0.46
rrg,acc,1.005,10,0,0.2,1,35000,0.465
rrg,acc,1.005,10,0,0.2,1,36000,0.463
rrg,acc,1.005,10,0,0.2,1,37000,0.471
rrg,acc,1.005,10,0,0.2,1,38000,0.464
rrg,acc,1.005,10,0,0.2,1,39000,0.468
rrg,acc,1.005,10,0,0.2,1,40000,0.47
rrg,acc,1.005,10,0,0.2,1,41000,0.46
rrg,acc,1.005,10,0,0.2,1,42000,0.458
rrg,acc,1.005,10,0,0.2,1,43000,0.465
rrg,acc,1.005,10,0,0.2,1,44000,0.468
